TERM 	 NUMDOC 	 START
red	25	127677
blue	16	127693
enhancement	11	127704
ratio	5	127709
areas	142	127851
decrease	3	127854
backscatter	4	127858
cyan	1	127859
such	287	128146
gepatschferner	1	128147
glacier	2	128149
seen	22	128171
glaciers	2	128173
hue	1	128174
visible	12	128186
dark	4	128190
reschensee	1	128191
upper	23	128214
side	23	128237
shows	28	128265
significant	55	128320
rise	8	128328
water	20	128348
magenta	1	128349
represents	17	128366
increase	27	128393
yellow	7	128400
indicates	15	128415
high	228	128643
signal	33	128676
response	40	128716
passes	5	128721
mountain	4	128725
slopes	1	128726
facing	7	128733
low	67	128800
signals	20	128820
refer	23	128843
smooth	12	128855
surface	37	128892
lakes	2	128894
grazing	1	128895
southeast	4	128899
approximately	47	128946
summit	2	128948
peaks	1	128949
reaches	6	128955
elevations	2	128957
meters	7	128964
xx	5	128969
sea	11	128980
test	112	129092
region	19	129111
venter	1	129112
intensively	1	129113
studied	29	129142
dynamics	27	129169
climate	11	129180
regions	12	129192
snowpack	1	129193
conditions	33	129226
hydrology	2	129228
percent	15	129243
corner	13	129256
reflectors	2	129258
calibration	10	129268
vernagtferner	1	129269
gif	17	129286
icons	14	129300
airsar	5	129305
images	83	129388
death	10	129398
k	111	129509
nelsongroup	5	129514
gazette	5	129519
usemap	3	129522
nelson	16	129538
communcations	2	129540
public	88	129628
firm	11	129639
volume	29	129668
issue	47	129715
scholastic	1	129716
inc	63	129779
donates	2	129781
million	15	129796
books	80	129876
golden	4	129880
warrior	1	129881
b	284	130165
armstrong	2	130167
shares	7	130174
his	64	130238
oakland	4	130242
reading	182	130424
recent	147	130571
conference	105	130676
western	10	130686
dental	1	130687
quality	68	130755
management	166	130921
hailed	3	130924
art	74	130998
highly	38	131036
regarded	5	131041
announced	31	131072
improvement	18	131090
nation	7	131097
largest	28	131125
provider	2	131127
macy	1	131128
west	32	131160
children	8	131168
spirits	1	131169
bright	11	131180
giving	22	131202
tree	46	131248
holiday	18	131266
ornaments	1	131267
holidays	10	131277
raised	8	131285
charities	1	131286
through	209	131495
ornament	1	131496
governor	2	131498
wilson	17	131515
action	38	131553
brings	6	131559
influential	1	131560
women	9	131569
drew	4	131573
sell	4	131577
crowds	1	131578
convention	6	131584
year	113	131697
entitled	14	131711
passing	43	131754
torch	1	131755
mentoring	2	131757
featured	7	131764
addresses	42	131806
former	24	131830
lady	1	131831
betty	4	131835
newswoman	1	131836
lesley	1	131837
stahl	1	131838
author	57	131895
olivia	1	131896
goldsmith	1	131897
previous	102	131999
issues	147	132146
educational	41	132187
publisher	9	132196
donated	3	132199
featuring	9	132208
nba	1	132209
star	11	132220
donation	3	132223
worth	22	132245
accepted	48	132293
boards	6	132299
csba	1	132300
experts	11	132311
debate	3	132314
alternative	34	132348
fuel	7	132355
vehicles	16	132371
san	43	132414
diego	22	132436
miramar	1	132437
college	143	132580
electric	10	132590
car	9	132599
ev	1	132600
motors	5	132605
vehicle	25	132630
december	123	132753
john	128	132881
campbell	11	132892
iii	39	132931
chairman	15	132946
ceo	2	132948
saturn	1	132949
orange	6	132955
answers	79	133034
some	414	133448
emerged	3	133451
testing	54	133505
ground	19	133524
impact	35	133559
economy	7	133566
focus	96	133662
polling	2	133664
election	9	133673
season	4	133677
behind	24	133701
latest	53	133754
poll	1	133755
asks	9	133764
opinions	10	133774
political	18	133792
people	309	134101
love	8	134109
others	77	134186
hate	2	134188
throw	6	134194
trash	3	134197
straightaway	1	134198
seconds	6	134204
tell	30	134234
handle	15	134249
legislative	1	134250
roster	10	134260
friendly	10	134270
guide	125	134395
capitol	1	134396
annual	37	134433
survey	62	134495
reveals	10	134505
challenges	18	134523
opportunities	63	134586
communicators	1	134587
prsa	1	134588
recognizes	3	134591
ncg	4	134595
seven	22	134617
letter	30	134647
editor	39	134686
corporate	10	134696
meet	57	134753
agency	24	134777
specialties	5	134782
case	107	134889
clients	27	134916
campaigns	6	134922
office	529	135451
institutional	9	135460
animal	5	135465
care	24	135489
committee	38	135527
membership	15	135542
uro	1	135543
rsh	1	135544
coord	1	135545
scholar	7	135552
proposal	25	135577
sub	5	135582
sponsored	30	135612
prj	2	135614
funded	30	135644
prgm	1	135645
grad	17	135662
larry	32	135694
alferink	1	135695
psychology	22	135717
member	52	135769
randy	9	135778
brunswick	3	135781
veterinarian	1	135782
hou	2	135784
tak	2	135786
cheung	2	135788
biological	17	135805
sciences	150	135955
roy	6	135961
hall	199	136160
representative	15	136175
chris	29	136204
horvath	1	136205
philosophy	25	136230
ann	14	136244
mcguigan	1	136245
peper	1	136246
gale	2	136248
taylor	19	136267
veterinarians	1	136268
carleton	4	136272
philips	5	136277
iacuc	1	136278
chairperson	2	136280
winter	80	136360
agriculture	3	136363
bruce	19	136382
yount	1	136383
aimr	1	136384
sample	107	136491
reports	175	136666
advantages	20	136686
overview	206	136892
start	66	136958
download	45	137003
acrobat	11	137014
reader	27	137041
composites	2	137043
following	215	137258
full	71	137329
disclosure	4	137333
accountant	2	137335
verification	35	137370
examined	12	137382
value	67	137449
composite	9	137458
mandate	1	137459
quarterly	6	137465
asset	2	137467
returns	6	137473
gross	3	137476
fees	2	137478
end	126	137604
quote	6	137610
ashland	3	137613
accounting	8	137621
livermore	4	137625
address	135	137760
pcmdi	2	137762
llnl	4	137766
mailing	79	137845
street	35	137880
avenue	18	137898
bldg	14	137912
tel	27	137939
francisco	10	137949
international	84	138033
airport	4	138037
generally	42	138079
hour	52	138131
traffic	30	138161
rush	4	138165
add	47	138212
exit	11	138223
south	15	138238
mateo	3	138241
bridge	6	138247
until	55	138302
turns	11	138313
minutes	37	138350
jose	13	138363
called	89	138452
hwy	1	138453
once	49	138502
exits	3	138505
vasco	1	138506
proceed	12	138518
railroad	4	138522
overpass	1	138523
gate	9	138532
second	161	138693
badge	2	138695
guarded	1	138696
entrance	5	138701
visitors	24	138725
must	153	138878
badged	1	138879
